	ID	QID	QID_	Sentence	Codes	Themes	FirstCC	SecondCC	ThirdCC
0	R0:3			Respondent: I am manager and responsible for disseminating communication and for the extension of the project.	{'business development', 'disseminating communication', 'manager'}	perception	{'business development', 'disseminating communication', 'manager'}	{'business development', 'dissemination practices', 'manager role'}	{'business development', 'dissemination practices', 'research roles and responsibilities'}
1	R0:5			Respondent: In this specific project we started with mapping of stakeholders, that is those organizations that directly or indirectly can yield an added value, or a quid, or are able to influence in general terms the project itself.	{'business development', 'mapping stakeholders', 'tech transfer'}	current situation	{'business development', 'mapping stakeholders', 'tech transfer'}	{'business development', 'mapping stakeholders', 'technology transfer'}	{'business development', 'tech transfer and market orientation', 'stakeholder analysis'}
2	R0:6			We will analyze insights from a first screening of stakeholders and will discuss with them our findings on the [date], to check if priorities are aligned.	{'priorities'}	current situation	{'priorities'}	{'priorities'}	{'priorities'}
3	R0:7			This is a project very much focused on research and has a low TRL (Technology Readiness Level), based on the type of financial scheme that allowed its funding.	{'EU measures', 'EU policy', 'TRL'}	insight	{'EU measures', 'EU policy', 'TRL'}	{'EU innovation measures', 'technology readiness levels', 'EU policy framework'}	{'EU innovation measures', 'EU policy framework', 'EU innovation measures and evaluation metrics'}
3	R0:7			This is a project very much focused on research and has a low TRL (Technology Readiness Level), based on the type of financial scheme that allowed its funding.	{'EU measures', 'EU policy', 'TRL'}	current situation	{'EU measures', 'EU policy', 'TRL'}	{'EU innovation measures', 'technology readiness levels', 'EU policy framework'}	{'EU innovation measures', 'EU policy framework', 'EU innovation measures and evaluation metrics'}
4	R0:9			So dissemination is a type of marketing, we can say.	{'dissemination as marketing'}	insight	{'dissemination as marketing'}	{'dissemination as marketing'}	{'dissemination framed as marketing'}
5	R0:10			Then we will pave the way towards those results that will be implemented, along the way, from technical partners that will prepare the way to reach markets, considering aspects like the product offered by  [X], or the service offered by [X] but also the peculiarity of the partners themselves.	{'pathways from results'}	insight	{'pathways from results'}	{'result-driven pathways'}	{'pathway visualization and roadmapping'}
5	R0:10			Then we will pave the way towards those results that will be implemented, along the way, from technical partners that will prepare the way to reach markets, considering aspects like the product offered by  [X], or the service offered by [X] but also the peculiarity of the partners themselves.	{'pathways from results'}	current situation	{'pathways from results'}	{'result-driven pathways'}	{'pathway visualization and roadmapping'}
6	R0:11			Therefore they will think about business scenarios but I am speaking theoretically at the moment, because there are no concrete results at the moment yet.	{'no business development if no concrete results'}	current situation	{'no business development if no concrete results'}	{'lack of results blocks business'}	{'research-to-market constraints'}
7	R0:12			So my activity concerns how to exploit the results that will be produced, but along the project it is also possible there will be objectives that must be adapted, because if the main results are publications, the main results are - let’s say - knowledge, intangible, and [ exploitation of knowledge ] is not like having a physical product or an online platform or a service… The [project coordinator] said that at the end of the project, his desire would be that the project may lead to a spin-off.	{'business development', 'exploiting results'}	current situation	{'business development', 'exploiting results'}	{'exploitation of results', 'business development'}	{'business development', 'tech transfer and exploitation of results'}
